"","salmon","brown","red","greenyellow","purple","turquoise","green","tan","blue","cyan","yellow","black","magenta","pink"
"","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue","FET pValue"
"Astrocytes","0.0665004249993836","0.934061604497531","0.952487599783853","0.187020809726468","0.969984488563317","0.999996873804306","0.370208973800374","0.00244325167846938","0.615374041313296","0.0718004700807222","0.028036636041819","0.00950480354292518","0.000239215563610777","4.40272766931122e-13"
"Microglia","0.0141871661822579","0.999944875204158","0.999224771147995","0.917941665720052","0.996434801553196","0.155754286302827","0.365980622699961","0.988529853416839","1","0.573501940559057","0.0462094287205866","1.58792049556691e-10","1.12267201513815e-22","0.000870151815304101"
"Neuron","0.0217201805187703","0.00482852604279108","0.071475664071173","3.68273391281887e-05","0.0469766807888399","1","0.000789685974148221","0.586855631693236","6.11579128666948e-32","0.746096083768467","0.999269883904381","0.996290840701735","0.999979652771867","0.999998554198722"
"Oligodendrocytes","0.996693658970259","0.867775791856935","0.995429043158887","0.18420193954344","0.581559621776875","0.999999590722094","0.147525747339823","0.998988265283937","0.0120468335887188","0.00011741761903851","2.38377253239511e-25","0.209417743216289","0.76338186045845","0.0432870431010845"
"Endothelia","0.628812385242064","0.844726751324357","0.982022909675523","0.646407342368816","0.981569428012077","0.999999002139649","0.978593022145389","0.998766860049104","0.999851890899897","0.00222369226963618","0.565367134786116","1.77375975186586e-18","0.0912835188727353","0.000106828120892849"
"","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected","FDR corrected"
"Astrocytes","0.193308957909637","1","1","0.422305054221056","1","1","0.762194946059594","0.0122162583923469","1","0.193308957909637","0.0981282261463663","0.0415835155002976","0.00167450894527544","6.16381873703571e-12"
"Microglia","0.0551723129310028","1","1","1","1","0.375958622110271","0.762194946059594","1","1","1","0.142972506748643","1.85257391149473e-09","2.61956803532234e-21","0.00507588558927392"
"Neuron","0.0800217177007328","0.0225331215330251","0.193308957909637","0.000368273391281887","0.142972506748643","1","0.00502527438094322","1","4.28105390066864e-30","1","1","1","1","1"
"Oligodendrocytes","1","1","1","0.422305054221056","1","1","0.368814368349558","1","0.0496046088947246","0.000913248148077301","8.34320386338287e-24","0.458101313285633","1","0.142972506748643"
"Endothelia","1","1","1","1","1","1","1","1","1","0.0119737276057333","1","3.10407956576525e-17","0.23666097485524","0.000913248148077301"
"","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap","Overlap"
"Astrocytes","11","11","8","14","6","287","16","17","336","6","23","21","25","42"
"Microglia","13","4","4","7","4","367","16","3","185","3","22","38","54","24"
"Neuron","15","33","23","30","21","292","33","10","636","3","8","7","3","2"
"Oligodendrocytes","1","10","4","12","9","228","16","1","314","10","60","13","8","16"
"Endothelia","5","10","5","8","4","223","6","1","228","8","12","45","14","23"
"","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)","CategoryHitsInDataSet(ADJ)"
"Astrocytes","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079"
"Microglia","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076"
"Neuron","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388"
"Oligodendrocytes","898","898","898","898","898","898","898","898","898","898","898","898","898","898"
"Endothelia","873","873","873","873","873","873","873","873","873","873","873","873","873","873"
"","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)","CategoryHitsInDataSet(Unadj)"
"","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079","1079"
"","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076","1076"
"","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388","1388"
"","898","898","898","898","898","898","898","898","898","898","898","898","898","898"
"","873","873","873","873","873","873","873","873","873","873","873","873","873","873"
"","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists","OverlappedGeneLists"
"Astrocytes","Bcl2;Nrarp;Nr4a3;Gpr3;Bhlhe40;Ccnd2;Irs2;Trib2;Fos;Traf3;Phf21b","Ptp4a1;Tsga10;Ppp2r5a;Wdr78;Zfp933;Rmnd1;Fdft1;Ncam1;Tmem161b;Adcy8;Vegfa","Bdnf;Nsdhl;Sigmar1;Phyhipl;Rcn2;Zfp708;Sybu;B4gat1","Ngef;Pamr1;Pdyn;Drp2;Rasl11b;Mmab;Dhcr7;Rsph4a;Coro2b;Lca5;Nr2f1;Acot5;Pde1b;Rorb","Fndc5;Actr3b;Ptn;Tmem218;Lyrm4;Ppp1r1a","Adhfe1;Cspp1;Acadl;Plcd4;Stk36;Sag;Dbi;Prdx6;Hsd11b1;Il15ra;Pdss1;Entpd2;Mamdc4;Ass1;Pomt1;Cwc22;Ptpmt1;Ddb2;Pacsin3;Pax6;Ivd;Catsper2;Trpm7;Zfp661;Slc20a1;Cst3;Acss1;Snta1;Pxmp4;Romo1;Ppp4r1l-ps;Sycp2;Tspan7;Upf3b;Thoc2;Fhl1;Mtm1;Zfp185;Pdzd11;Gdpd2;Xkrx;Kcne1l;Foxr2;Vegfd;Fabp5;Sox2;Intu;Lxn;Smc4;Bcan;Paqr6;Clk2;Lenep;Pbxip1;Riiad1;Mtmr11;Phgdh;Gstm5;Gstm1;Prpf38b;Ccn1;Srsf11;Smim8;Nudt2;Dnaic1;Cntfr;Spag8;Klf4;Tnc;Scp2;Echdc2;Uqcrh;P3h1;Snhg3;Id3;Capzb;Aldh4a1;Fbxo2;Ctnnbip1;Per3;Hes5;Nadk;Cdk11b;Agrn;Mterf1a;Abhd1;Evc;Evc2;Pxmp2;Sdsl;Psph;Phkg1;Tsc22d4;Rasl11a;Parp12;Gstk1;Bola3;Nat8f5;Nat8f1;Cfap100;Bms1;Hdhd5;Tulp3;Gpr19;Mgst1;Pyroxd1;Ttyh1;Leng8;Leng9;Tmem86b;Six5;Apoe;Bckdha;Ech1;Capns1;Cox6b1;Fxyd1;Lgi4;Slc7a10;Nudt19;Vmn2r57;AW146154;Myh14;Gys1;Abcc8;Mcee;Mfge8;Crtc3;Kctd14;P4ha3;Iqck;Crym;Bag3;Ctbp2;Pgghg;Ptdss2;Mical1;Smpd2;Fabp7;Ccdc138;Pbld2;Ddt;Gstt1;Tmem259;Appl2;Rmst;Gli1;Rdh5;Itga7;Coprs;Slc27a1;Gcdh;Mt3;Mt2;Ccdc113;Elmo3;Lcat;Nqo1;Gcsh;Agt;Btd;Ddhd1;Ndrg2;Oxa1l;Dhrs4;Cideb;Clu;Ephx2;Zc3h13;Naa16;Cldn10;Clybl;Cwf19l2;Tmed1;Foxred1;Ccdc84;Il18;Etfa;Aqp9;Hmgn3;Chst2;Nphp3;Zmynd10;Amigo3;Amt;Klhdc8b;Slc26a6;Als2cl;Ctdspl;Higd1a;Limd1;Pla2g3;Rnf215;Ccdc157;Tbc1d10a;Acyp2;Rhbdf1;Sar1b;9530068E07Rik;Pdlim4;Cox10;Acadvl;Pld2;Inca1;Kif1c;Nek8;Rab34;Proca1;Wsb1;Mks1;Acsf2;Fam117a;Sp6;Fam20a;BC006965;Sox9;Btbd17;Slc9a3r1;Grin2c;Tbce;Ppp1r3g;Fars2;Gadd45g;Fam193b;Zfp58;Polr3g;Srek1;Ppwd1;Gpx8;Ntsr2;Grhl1;Prpf39;Hspa2;Srsf5;Rbm25;Acot2;Acot1;Gstz1;Ankrd9;Aspg;Cmbl;Rida;Spag1;Naprt;Nrbp2;Oplah;Gpt;Csdc2;Pmm1;Smdt1;Serhl;Ttll8;Dbx2;Rapgef3;Npff;Tekt5;Aifm3;P2rx6;Prodh;Atp13a4;Lrch3;Slc15a2;Impg2;Cbr3;Hmgn1;Mpc1;Zfp160;Zfp40;Paqr4;Mcrip2;Ggnbp1;Pde9a;Cbs;Cyp4f17;Cyp4f16;Cyp4f15;C4a;Znrd1as;Rsph9;Daam2;Thoc1;Kcnn2;Acaa2;Timm21;Tm7sf2;Fgfbp3;Sfxn2","Ttll4;Arhgap21;Med12;Ampd2;Grk3;Ttyh3;Ntrk3;Slc25a42;Dzip1l;Sec14l2;P4ha2;Plec;Golgb1;Srrm2;Caskin1;Tctn3","Cfap65;Mdm4;Nvl;Dhtkd1;Gabpb2;Egf;Tet2;Odf2l;Pnisr;Arntl2;Zfp112;Tex9;Adamts6;Atad2b;Prkdc;Spaca6;Smc5","Fam135a;Adgrb3;Arhgef4;Gulp1;Stk17b;Mars2;Pikfyve;Map2;Zfp142;Irs1;Ube2f;Epb41l5;Zranb3;Atp2b4;Zbtb41;Cep350;Zbtb37;Prrc2c;Pou2f1;Kcnj10;Fmn2;Rgs7;Gpatch2;Slc39a12;Nebl;Nacc2;Sptan1;Gpd2;Acvr1c;Tank;Ttc21b;Itga6;Fam171b;Lrp4;Ckap5;Fjx1;Slc1a2;Lgr4;Rasgrp1;Mga;Sema6d;Ptpra;Rnf24;Acss2;Zhx3;Chd6;Elmo2;Prex1;Ppp1r3d;Lonrf3;Slitrk2;Dmd;Gk;Taf1;Pou3f4;Chrdl1;Amot;Fam120c;Gpm6b;Cyp7b1;Jade1;Pcdh10;Slc7a11;Frem2;Dclk1;Arhgef26;Plch1;Gucy1a1;Dclk2;Kcnn3;Slc6a17;Ahcyl1;Vav3;Agl;Abcd3;Bcar3;Synpo2;Ank2;Ddit4l;Bmpr1b;Pdlim5;Car8;2610301B20Rik;Ttpa;Pou3f2;Gpr63;Fut9;Casp8ap2;Frmpd1;Gabbr2;Hsdl2;Cdk5rap2;Mpdz;Zdhhc21;Dennd4c;Raver2;Jak1;Plpp3;Ptprf;Macf1;Zscan20;Lrrc38;Vps13d;Kif1b;Prdm16;AW011738;Grm3;Hgf;Kmt2c;Insig1;Sorcs2;Ccdc96;Arap2;Wdr19;Limch1;Gabra4;Gabrb1;Slc4a4;Adamts3;Fras1;Ccdc18;Abcb9;Fzd10;Zfp11;Wasf3;Ptprz1;Ahcyl2;Tril;Herc6;Immt;Dctn1;Alms1;Slc6a11;Slc6a1;Ift122;Lrtm2;Stk38l;Zfp507;Chsy1;Synm;Chd2;Klhl25;Arnt2;Grm5;Rab30;Fam168a;Parva;Tead1;Arntl;Ccp110;Acadsb;Dhx32;Dock1;Syne1;Lats1;Sash1;L3mbtl3;Echdc1;Nr2e1;Fam184a;Fam13c;Agpat3;Rfx4;Chpt1;Vezt;Plxnc1;Eea1;Ppp1r12a;Zfc3h1;Arhgef18;Kbtbd11;Agpat5;Slc7a2;Fat1;Tenm3;Gpm6a;Mfap3l;Msmo1;Csgalnact1;Ncan;Nwd1;Nr3c2;Gnao1;Nup93;Pdp2;Cmtr2;Camk2g;Il17rd;Bmpr1a;Amer2;Tnfrsf19;Rb1;Vwa8;Ednrb;Rbm26;Gpc6;Dync2h1;Arhgap42;Eepd1;Arhgap32;Sorl1;Arhgef12;Acsbg1;Peak1;Lingo1;Vps13c;Sh3bgrl2;Rasgrf1;Rasa2;Mras;Ppp2r3a;Dag1;Map4;Stt3b;Myrip;Trak1;Znrf3;Egfr;Etaa1;Slc1a4;Lgalsl;Otx1;Ehbp1;Wwc1;Acsl6;Tom1l2;Hs3st3a1;Mink1;Abr;Flot2;2610507B11Rik;Msi2;Spag9;Tob1;Ankrd40;Nr1d1;Taco1;Pitpnc1;Idi1;Gli3;Zscan12;Aldh5a1;Prpf4b;Elovl2;Cap2;Fbxl21;Ptch1;Zfp759;Adcy2;Ttc37;Edil3;Hapln1;Zfyve16;Mtx3;Cmya5;Hmgcr;Mast4;Mier3;Il6st;Asxl2;Wdr35;Mboat2;Kidins220;Dgkb;Nrcam;Arhgap5;L2hgdh;Trim9;Arid4a;Lrrc9;Mpp5;Ttc9;Dpf3;Dio2;Ston2;Trip11;Lifr;Nadk2;Ctnnd2;Baalc;Trps1;Sqle;Ppara;Pkdrej;Celsr1;Gramd4;Abcd2;Lrrk2;Atf7;Cbx5;Abat;Clec16a;Fgd4;Kalrn;Hacd2;Boc;Cblb;Jam2;Itsn1;Morc3;Zfp97;Zfp229;Zfp945;Zfp799;Zfp870;Gabbr1;Nudt12;Tmem200c;Dlgap1;Lclat1;Atl2;Rhoq;Nrxn1;Aqp4;Cdh2;Garem1;Dtna;Pcdhgb6;Pcdhgc5;Arhgap26;Ppp2r2b;Megf10;Zfp532;Spire1;Mapk4;Lipg;Rtn3;Dagla;Trpm3;Ptar1;Hectd2;Sorbs1;Scd2;Add3;Rbm20;Gpam","Sned1;Ddr2;Aldh1a2;Ranbp3l;Emp2;Sncaip","Efhd1;Slc2a10;Ndp;Car2;Slc6a9;Tmem229a;Folh1;Olfml1;Ddo;Slc20a2;Myo6;Pls1;Aspa;Npas3;Tst;Cdc42ep1;Ehhadh;Myh15;Mcc;Slc14a1;Mamdc2;Tjp2;Il33","Igfbp5;Gli2;Soat1;Cd44;Mavs;Slc13a3;Col4a5;Notch2;Clcc1;Vcam1;Pdpn;Lrig1;A2m;Tsku;Gm5424;Mmp14;Gjb6;Erbb2;Gas1;Pdgfrb;Plcb3","Itm2c;Ugt1a6a;Pm20d1;Sardh;Cybrd1;Kyat3;Cyp2j9;Cpt2;Pon2;Aass;Tmem176b;Zfand4;Kirrel2;Rgma;Ucp3;Phkb;Slc12a4;Dhrs1;Hepacam;Nxpe4;Prss35;Aldoc;Caskin2;Mlc1;Nde1","Paqr8;Slc41a1;Itih5;Lrrc8a;Itprid2;Pygb;Fgf2;Etfdh;Cth;Acot11;Crot;Gabrg1;Aff1;Sparcl1;Sfxn5;Suclg2;Axl;Htra1;Nhsl1;Lama2;Gja1;Timp3;Fgd6;Fgfr1;Adgrg1;Zcchc24;Slc39a14;Plxnb1;Srebf1;Atp1b2;Fzd2;Acox1;Mthfd1;Aldh6a1;Slc1a3;Myo10;Lpp;Ift140;Notch3;Psd2;Cpt1a;Ppp1r3c"
"Microglia","Ier5;Ptpn1;Stk40;Vps37b;Egr2;Zswim4;Junb;Kdm6b;Fmnl1;Trib1;Mapk14;Egr1;Dusp5","Rgs19;Hprt;Nop2;Arf2","Tuba4a;Rraga;Rnf19b;Lrrc75a","Dgkz;Myo18b;Tspan33;Tcap;Slc16a6;Tagap1;Cd6","Adam33;Pmepa1;Cox6a2;Wdr55","Ptpn18;Stk11ip;Sag;Lrrfip1;Scly;Cyb5r1;Rnpep;Arpc5;Rnasel;Tor3a;Creg1;Fcer1g;Aim2;Pnpla7;Dpp7;Uap1l1;Card9;Agpat2;Phyhd1;St6galnac4;Slc2a8;Spi1;Accs;Alkbh3;B2m;Blvra;Dusp2;Cst3;Snta1;Edem2;Srsf6;Dnttip1;Ctsa;Slc35c2;Rnf114;Cebpb;Nfatc2;Ctsz;Slco4a1;Ccdc22;Cfp;Arhgap4;Fam3a;Ophn1;Sat1;Adam15;Tnfaip8l2;Plekho1;Mov10;Galt;Clta;Anks6;Galnt12;Col27a1;Mob3c;Hyi;Zfp691;Csf3r;Lsm10;Zbtb8os;Gpatch3;C1qa;Atp13a2;Necap2;Efhd2;Dhrs3;Mthfr;Pik3cd;Khk;Snx17;Zfp513;Tnip2;Sh3bp2;Idua;Pus1;Crybb1;Tpst2;Srrd;Hps4;Iscu;Acads;Srsf9;Pxn;Erp29;Sh2b3;P2rx4;Rilpl2;Rilpl1;Asl;Lat2;Mlxipl;Tmem120a;Rasa4;Lrwd1;Plod3;Snx8;Ap5z1;Actb;Bri3;Arpc1b;N4bp2l1;Atp6v1f;Akr1b3;Zyx;Lsm5;Vamp8;Dok1;Htra2;Aup1;Nagk;Camk1;Arpc4;Il17ra;Hebp1;Ldhb;Isoc2b;Epn1;Dhx34;Relb;Pou2f2;Shkbp1;Blvrb;Gmfg;Nfkbib;Rinl;Nfkbid;Hpn;Gramd1a;Pepd;Zfp658;Aldh16a1;Cd37;Ftl1;Ppp1r15a;Bcat2;Tmem86a;Htatip2;Idh2;Cib1;Fes;Furin;Usp35;Arap1;Rhog;Tpp1;Il21r;Rabep2;Cln3;Nupr1;Sult1a1;Coro1a;Tmem219;Mvp;Fbrs;Rgs10;Adam8;Rnh1;Lsp1;Tnfrsf23;Ascc1;Sgpl1;Ggt5;Sumo3;Ube2g2;Icosl;Cstb;Arhgap45;Sbno2;Mknk2;Gadd45b;Matk;Btg1;B4galnt1;Stat2;Cd63;Stxbp2;Gas6;Eif4ebp1;Sap30;Gmip;Jund;Ifi30;Map1s;Colgalt1;Jak3;Pkn1;D8Ertd738e;Lyl1;Cbln1;Ccl17;Tk2;Rrad;Tradd;Fhod1;Psmb10;Pla2g15;Zfhx3;Cotl1;Cyba;Rnf166;Cdt1;Galns;Ntpcr;Ndst2;Comtd1;Arhgap22;Osgep;Pnp;Rnase4;Ap1g2;Psme2;Cryl1;Gm38431;Slc44a2;Dnm2;Oaf;Pts;Bco2;Ppcdc;Scamp2;Csk;Tmem202;Hexa;Rplp1;Aagab;Mthfsl;Twf2;Abhd14b;Gpx1;Klhdc8b;Trex1;Nradd;Nbeal2;Myd88;Tbc1d10a;Pus10;Vrk2;Prorsd1;Mgat1;Ltc4s;Rufy1;Nhp2;Irf1;Pdlim4;Flcn;Top3a;Map2k3;Mmgt2;Plscr3;Ctdnep1;Phf23;Dvl2;Arrb2;Med11;Pfn1;Eno3;Ctns;Scpep1;Gngt2;Pnpo;Plxdc1;Arl5c;Rpl19;Stard3;Dhx58;Ifi35;Limd2;Smarcd2;Cd300c2;Nat9;Unc13d;Trim65;Mfsd11;Syngr2;Socs3;Engase;Slc25a10;Arhgdia;Dcxr;Slc16a3;Cybc1;Metrnl;Lgals8;Ly86;Dtnbp1;Gmpr;Ninj1;Susd3;Dok3;Ctsl;Adamts16;Hs1bp3;Npc2;Evl;Crip1;Otulin;Rpl30;Adgrb1;Gsdmd;Mroh1;Commd5;Cyth4;Sh3bp1;Rpl3;Naga;Mettl7a1;Slc11a2;Bin2;Fignl2;Rogdi;Nagpa;Pmm2;Trmt2a;Comt;Nfkbiz;Rnaset2b;Rnaset2a;Sft2d1;Amdhd2;Nme4;Hmga1;Fgd2;Pim1;Rasal3;B3galt4;H2-K2;Rxrb;H2-DMb1;Tap2;Ppt2;Neu1;Aif1;Ier3;H2-T23;H2-T22;Slc29a1;Cnpy3;Foxp4;Trem2;Oard1;Rftn1;Dennd1c;Tgif1;Myom1;Galm;Ttc7;Bin1;Pggt1b;Adrb2;Tcirg1;Aldh3b1;Unc93b1;Rad9a;Clcf1;Ctsf;Rela;Sipa1;Ehbp1l1;Slc25a45;Ehd1;Ccdc88b;Tmem179b;Ccdc86;Pyroxd2;Fbxw4;Ldb1;Sfxn2","Col6a3;Dnajc1;Cep250;Phka2;Dennd4b;Ppp6r1;Arhgap17;Arid3a;Wdfy2;Lrch1;Vipr1;Mllt6;Zfyve26;Arhgap39;Myh9;Nckap5l","Ganc;Ints6l;Elmo1","Lactb2;Hs6st1;Tgfbrap1;Gls;Dgkd;Serpinb8;Ccdc93;Mapkapk2;Rassf5;Srgap2;Nek7;Sft2d2;Pfkfb3;Otud1;Tbc1d13;Fam78a;Ptgs1;Itga6;Ptprj;Plcb2;Vps18;Galk2;Zc3h6;Sirpa;Snx5;Srxn1;Samhd1;Serinc3;Arfgef2;Znfx1;B4galt5;Cbln4;Clcn5;Kcnd1;Bcor;Rp2;Lamp2;Rap2c;Arhgef6;Ids;Gpr165;Diaph2;Sh3kbp1;Prps2;Nhlrc3;P2ry13;P2ry12;Mbnl1;Kcnab1;Etv3;Tpm3;Zfp697;Slc35a3;Bank1;Gbp7;Ctbs;Asph;Coro2a;Tgfbr1;Abca1;Ptbp3;Ttc39b;Smap2;Cap1;Rragc;Man1c1;Gpr157;Ski;Hpse;Mlec;Rab35;Ubc;Lrch4;Fscn1;Daglb;Mob1a;Rab11fip5;Tatdn2;Pld3;Nup62;Cyfip1;Gdpgp1;Gab2;Arrb1;Gvin1;Pik3c2a;Orai3;Itgam;Stxbp5;Tnfaip3;Cd164;Vps26a;Lrrc3;Txnrd1;Nuak1;Dyrk2;Hgsnat;Zfp703;Prag1;Tlr3;Spcs3;Rasd2;Sall1;Slc38a7;St3gal2;Klhl36;Zfpm1;Rbm34;Slmap;Tspan14;Ctsb;Ptk2b;Kctd12;Cln5;Rab3d;Siae;Ubash3b;Rab8b;Vps13c;Slc9a9;Dnajc13;Cmtm6;Ccr5;Ap1b1;Ykt6;Rel;9930111J21Rik2;Jade2;Slc36a1;G3bp1;Smcr8;Akap10;Rtn4rl1;Slc43a2;Lasp1;Itgb3;Abca9;Tmem104;Grb2;Rptor;Slc38a10;Mtr;Gpr137b-ps;Epdr1;Mylip;Hrh2;Erap1;Mef2c;Arsb;Ap3b1;Mgat2;Arid4a;Efr3a;Syngr1;Pacsin2;Cerk;Snn;Snx29;Ccdc50;Osbpl11;Usp25;Ifngr2;Morc3;Uhrf1bp1;Enpp4;Nfya;Plcl2;Adgre1;Kcnk12;Dmxl1;Snx2;Ldlrad4;Cbln2;Grk2;Ap5b1;Gda;Lipa;Entpd1;Pprc1;Calhm2;Neurl1a;Sh3pxd2a;Acsl5;Ccdc186;Cacul1","Mrc1;Ptgds;Sphk1","Tmem63a;Pip4k2a;Apbb1ip;Depdc7;Gatm;Was;Capza1;Zc3hav1;Trim21;Apobr;Lpcat2;Plau;Uba7;Slc46a1;Arsg;Cd83;Syk;Dglucy;Litaf;Itpr3;Rab3il1;As3mt","Cfh;Sqor;Shc1;Olfml3;Cd53;Csf1;Tmco4;Anxa4;Rassf4;Cd163;Tnfrsf1a;Fcgrt;Emp3;Lrrk1;Ctsc;Trim30d;Ppp1r3b;Hmox1;Adcy7;Stab1;Ang;Lacc1;Icam1;Ctsh;Serpinf1;Lgals9;Lgals3bp;F13a1;Slc12a7;Cpq;Lgals1;Apobec3;Plxnb2;Tapbp;Tap1;C2;Clic1;Gcnt1","Inpp5d;Fcgr2b;Fcgr3;Btk;Ctss;Laptm5;Rps6ka1;Fuca1;C1qb;C1qc;Man2b2;Tmem119;Hvcn1;Slc15a4;Ncf1;Gal3st4;C3ar1;Lair1;Kcnk6;Cebpa;Cd33;Dhdh;Siglech;Slco2b1;Ucp2;Il4ra;Armc5;Itgb2;Trpm2;Cmtm3;Wwp2;Plcg2;Gpr183;Ccr1;Havcr2;Pik3r5;Grn;Nmt1;Hexb;Pygl;Csf2rb;Fmnl3;Nckap1l;Nrros;Itgb5;Fkbp5;Ticam1;Vav1;Arap3;Csf1r;Slc15a3;Mpeg1;Lpxn;Blnk","Ptprc;Arhgap30;Tor4a;Rxra;Bcl2l1;Chst7;Msn;Tlr7;Wasf2;Lfng;Eva1a;Hk2;Edem1;Ifngr1;Slc29a3;Pdxk;Gns;Cyp4v3;Vwa5a;Wdr81;Irak4;Xdh;Lrp5;Dock8"
