SYMBOL,P
OR4F5,0.19098
LOC100996442,0.1111
OR4F29,0.3141
SAMD11,0.10721
NOC2L,0.36719
KLHL17,0.44593
PLEKHN1,0.42151
PERM1,0.39524
HES4,0.19594
ISG15,0.17681
AGRN,0.22273
RNF223,0.12858
C1orf159,0.12411
TTLL10,0.44814
TNFRSF18,0.15029
TNFRSF4,0.13773
SDF4,0.12268
B3GALT6,0.12407
C1QTNF12,0.14533
UBE2J2,0.2629
SCNN1D,0.5184
ACAP3,0.53838
PUSL1,0.45613
INTS11,0.54468
CPTP,0.53671
TAS1R3,0.63414
DVL1,0.75555
MXRA8,0.85386
AURKAIP1,0.92102
CCNL2,0.96315
MRPL20,0.92251
ANKRD65,0.78076
TMEM88B,0.73101
VWA1,0.75142
ATAD3C,0.61037
ATAD3B,0.4025
ATAD3A,0.39169
TMEM240,0.50141
SSU72,0.40202
FNDC10,0.22065
MIB2,0.32393
MMP23B,0.40464
CDK11B,0.48167
SLC35E2B,0.8765
CDK11A,0.37238
SLC35E2A,0.19503
NADK,0.028981
GNB1,0.0085814
CALML6,0.064764
TMEM52,0.065035
CFAP74,0.30163
GABRD,0.51998
PRKCZ,0.61045
PRKCZ-AS1,0.46522
FAAP20,0.73968
SKI,0.97237
MORN1,0.49938
RER1,0.21764
PEX10,0.27278
PLCH2,0.27298
PANK4,0.16885
HES5,0.26609
TNFRSF14,0.34694
PRXL2B,0.12759
MMEL1,0.18213
TTC34,0.47491
ACTRT2,0.57284
PRDM16,0.75873
ARHGEF16,0.92257
MEGF6,0.2826
TPRG1L,0.40583
WRAP73,0.69243
TP73,0.16145
CCDC27,0.27373
SMIM1,0.67327
LRRC47,0.9217
CEP104,0.75219
DFFB,0.22092
C1orf174,0.059224
AJAP1,0.81608
NPHP4,0.65527
KCNAB2,0.81127
CHD5,0.22169
RPL22,0.29226
RNF207,0.095352
ICMT,0.12424
HES3,0.50369
GPR153,0.42579
ACOT7,0.21353
HES2,0.45538
ESPN,0.54222
TNFRSF25,0.6952
PLEKHG5,0.34586
NOL9,0.32979
TAS1R1,0.65122
ZBTB48,0.36419
KLHL21,0.17036
PHF13,0.15182
THAP3,0.10753
DNAJC11,0.14155
CAMTA1,0.10224
VAMP3,0.1855
PER3,0.29561
UTS2,0.42432
TNFRSF9,0.78587
PARK7,0.49782
ERRFI1,0.36553
SLC45A1,0.56912
RERE,0.37929
ENO1,0.11411
CA6,0.35435
SLC2A7,0.88688
SLC2A5,0.73673
GPR157,0.8189
H6PD,0.97132
SPSB1,0.79096
SLC25A33,0.83539
TMEM201,0.7355
PIK3CD,0.26134
CLSTN1,0.095372
CTNNBIP1,0.068868
LZIC,0.59177
NMNAT1,0.6749
RBP7,0.56394
UBE4B,0.65397
KIF1B,0.44166
PGD,0.39077
CENPS,0.57733
CENPS-CORT,0.57876
CORT,0.62937
DFFA,0.7023
PEX14,0.28391
CASZ1,0.31523
C1orf127,0.47741
TARDBP,0.24844
MASP2,0.25351
SRM,0.33901
EXOSC10,0.32884
MTOR,0.25012
ANGPTL7,0.24068
UBIAD1,0.62436
DISP3,0.61481
FBXO2,0.13929
FBXO44,0.084811
FBXO6,0.046637
MAD2L2,0.025169
DRAXIN,0.02094
AGTRAP,0.11537
C1orf167,0.77481
MTHFR,0.88946
CLCN6,0.97939
NPPA,0.97864
NPPB,0.93067
KIAA2013,0.63145
PLOD1,0.73002
MFN2,0.40697
MIIP,0.25163
TNFRSF8,0.41647
TNFRSF1B,0.48038
VPS13D,0.93753
DHRS3,0.47595
AADACL4,0.59186
AADACL3,0.19131
C1orf158,0.062669
PRAMEF12,0.078714
PRAMEF1,0.2092
PRAMEF11,0.39378
HNRNPCL1,0.58018
PRAMEF2,0.53754
PRAMEF4,0.53369
PRAMEF10,0.42874
PRAMEF7,0.517
PRAMEF6,0.88432
PRAMEF22,0.34697
PRAMEF25,0.7019
HNRNPCL2,0.96367
PRAMEF26,0.99044
PRAMEF5,0.21326
PRAMEF8,0.21326
PRAMEF18,0.19803
NA,0.57228
PRAMEF15,0.8565
PRAMEF19,0.68117
PRAMEF17,0.60361
PRAMEF20,0.081043
LRRC38,0.31202
PDPN,0.32807
PRDM2,0.15084
KAZN,0.61692
TMEM51,0.19722
C1orf195,0.28652
FHAD1,0.51109
EFHD2,0.53073
CTRC,0.72834
CELA2A,0.35695
CELA2B,0.17263
CASP9,0.1225
DNAJC16,0.24542
AGMAT,0.50343
DDI2,0.47878
RSC1A1,0.4504
PLEKHM2,0.59087
SLC25A34,0.75781
TMEM82,0.63596
FBLIM1,0.21464
UQCRHL,0.11319
SPEN,0.21248
ZBTB17,0.26403
TBC1D3P6,0.29044
SRARP,0.27216
HSPB7,0.30583
CLCNKA,0.26918
CLCNKB,0.55333
FAM131C,0.61931
EPHA2,0.4439
ARHGEF19,0.091658
ANO7L1,0.15678
CPLANE2,0.18123
FBXO42,0.5123
SZRD1,0.69403
SPATA21,0.87214
NECAP2,0.9867
NA,0.60639
NBPF1,0.29358
NA,0.91373
NA,0.21279
MST1L,0.23558
CROCC,0.25432
MFAP2,0.071373
ATP13A2,0.044399
SDHB,0.029822
PADI2,0.020713
PADI1,0.18822
PADI3,0.53126
PADI4,0.38898
PADI6,0.47385
RCC2,0.57986
ARHGEF10L,0.30168
ACTL8,0.6048
IGSF21,0.65321
KLHDC7A,0.41283
PAX7,0.47141
TAS1R2,0.32498
ALDH4A1,0.19595
IFFO2,0.20998
UBR4,0.31433
EMC1,0.20744
MRTO4,0.1335
AKR7A3,0.092552
AKR7A2,0.20283
SLC66A1,0.2748
CAPZB,0.29034
MICOS10,0.42858
MICOS10-NBL1,0.20909
NBL1,0.10375
HTR6,0.11502
TMCO4,0.49538
RNF186,0.36197
OTUD3,0.34789
PLA2G2E,0.58541
PLA2G2A,0.97419
PLA2G5,0.064969
PLA2G2D,0.14842
PLA2G2F,0.14291
PLA2G2C,0.11619
UBXN10,0.40484
VWA5B1,0.4801
CAMK2N1,0.58746
MUL1,0.55242
FAM43B,0.47079
CDA,0.60958
PINK1,0.52615
DDOST,0.65811
KIF17,0.31759
SH2D5,0.05288
HP1BP3,0.023339
EIF4G3,0.049544
ECE1,0.34448
NBPF3,0.17176
ALPL,0.37828
RAP1GAP,0.054159
USP48,0.037477
LDLRAD2,0.33866
HSPG2,0.35171
CELA3B,0.7021
CELA3A,0.83155
CDC42,0.91433
WNT4,0.90847
ZBTB40,0.91869
EPHA8,0.11775
C1QA,0.17405
C1QC,0.18
C1QB,0.2221
EPHB2,0.0079045
LACTBL1,0.44689
TEX46,0.54027
KDM1A,0.63462
LUZP1,0.075728
HTR1D,0.16433
HNRNPR,0.095531
ZNF436,0.23149
TCEA3,0.47177
ASAP3,0.38823
E2F2,0.077306
ID3,0.099221
RPL11,0.41877
ELOA,0.0085824
PITHD1,0.0086051
LYPLA2,0.013776
GALE,0.015349
HMGCL,0.022668
FUCA1,0.04823
CNR2,0.19039
PNRC2,0.94552
SRSF10,0.97365
MYOM3,0.90563
IL22RA1,0.34516
IFNLR1,0.36422
GRHL3,0.6698
STPG1,0.82407
NIPAL3,0.68513
RCAN3,0.80903
NCMAP,0.8842
SRRM1,0.73909
CLIC4,0.55993
RUNX3,0.060559
SYF2,0.85845
RSRP1,0.78885
RHD,0.3813
TMEM50A,0.2442
RHCE,0.17482
MACO1,0.1589
LDLRAP1,0.81025
MAN1C1,0.64706
SELENON,0.75559
MTFR1L,0.79853
AUNIP,0.80487
PAQR7,0.91346
STMN1,0.81854
PAFAH2,0.32652
EXTL1,0.099262
SLC30A2,0.15773
TRIM63,0.28333
PDIK1L,0.66935
FAM110D,0.82842
ZNF593,0.77118
CNKSR1,0.59998
CATSPER4,0.7836
CEP85,0.95597
SH3BGRL3,0.9203
UBXN11,0.94915
CD52,0.99312
CRYBG2,0.99469
ZNF683,0.94322
LIN28A,0.50497
DHDDS,0.2539
HMGN2,0.18338
RPS6KA1,0.25205
LOC101928728,0.54632
ARID1A,0.5729
PIGV,0.54576
ZDHHC18,0.18473
SFN,0.17761
GPN2,0.19324
GPATCH3,0.21029
NR0B2,0.24696
NUDC,0.35567
KDF1,0.71134
TRNP1,0.49659
TENT5B,0.25541
SLC9A1,0.05465
WDTC1,0.070618
TMEM222,0.070225
SYTL1,0.091847
MAP3K6,0.08398
FCN3,0.10243
CD164L2,0.097613
GPR3,0.12987
WASF2,0.076664
AHDC1,0.62253
FGR,0.77469
IFI6,0.67798
FAM76A,0.80816
STX12,0.70855
PPP1R8,0.46918
THEMIS2,0.55894
RPA2,0.093437
SMPDL3B,0.0517
XKR8,0.36636
EYA3,0.55479
PTAFR,0.86379
DNAJC8,0.89418
ATP5IF1,0.85141
SESN2,0.78642
MED18,0.45414
PHACTR4,0.26449
RCC1,0.33609
TRNAU1AP,0.25521
RAB42,0.33265
TAF12,0.34942
GMEB1,0.42842
YTHDF2,0.47516
OPRD1,0.30942
EPB41,0.8939
TMEM200B,0.83833
SRSF4,0.74908
MECR,0.9005
PTPRU,0.62983
MATN1,0.8174
LAPTM5,0.94456
SDC3,0.60613
PUM1,0.94055
NKAIN1,0.83881
SNRNP40,0.73358
ZCCHC17,0.79472
FABP3,0.60152
SERINC2,0.84658
TINAGL1,0.12455
HCRTR1,0.23719
PEF1,0.2721
COL16A1,0.061568
ADGRB2,0.074172
SPOCD1,0.29257
PTP4A2,0.94671
KHDRBS1,0.53119
TMEM39B,0.8935
KPNA6,0.84369
TXLNA,0.83056
CCDC28B,0.81394
IQCC,0.75881
DCDC2B,0.68848
TMEM234,0.63545
EIF3I,0.65996
FAM167B,0.66634
