SYMBOL,P
LINC01409,0.11457
SAMD11,0.26031
NOC2L,0.094316
KLHL17,0.078705
PLEKHN1,0.028313
PERM1,0.0026393
HES4,0.051644
ISG15,0.0040656
AGRN,9.381e-05
NA,0.030858
LOC105378948,0.0021581
RNF223,0.00063232
C1orf159,0.050583
TTLL10,0.21293
TNFRSF18,0.6575
TNFRSF4,0.83815
SDF4,0.72148
B3GALT6,0.49123
C1QTNF12,0.19262
UBE2J2,0.44227
SCNN1D,0.74951
ACAP3,0.43295
PUSL1,0.62554
INTS11,0.72876
CPTP,0.47258
TAS1R3,0.48859
DVL1,0.81473
MXRA8,0.849
AURKAIP1,0.24481
CCNL2,0.49525
MRPL20,0.33199
ANKRD65,0.79458
TMEM88B,0.75559
VWA1,0.52578
ATAD3C,0.66936
ATAD3B,0.43226
ATAD3A,0.11253
TMEM240,0.8844
SSU72,0.73398
FNDC10,0.082541
MIB2,0.93034
CDK11B,0.89595
SLC35E2B,0.8481
CDK11A,0.16615
SLC35E2A,0.14804
NADK,0.8038
GNB1,0.68018
LOC105378949,0.78462
CALML6,0.60139
TMEM52,0.47558
CFAP74,0.74578
GABRD,0.6177
PRKCZ,0.91472
PRKCZ-AS1,0.28824
FAAP20,0.71691
NA,0.68987
SKI,0.93349
NA,0.30965
MORN1,0.86199
RER1,0.79646
PEX10,0.94758
PLCH2,0.67934
PANK4,0.89575
HES5,0.9535
TNFRSF14,0.33567
PRXL2B,0.39725
MMEL1,0.31677
TTC34,0.17897
ACTRT2,0.99808
PRDM16,0.84729
ARHGEF16,0.67792
MEGF6,0.37475
TPRG1L,0.38508
WRAP73,0.36034
TP73,0.55959
CCDC27,0.7058
SMIM1,0.458
LRRC47,0.14383
CEP104,0.53889
DFFB,0.37338
C1orf174,0.97297
AJAP1,0.87137
NPHP4,0.053252
KCNAB2,0.21668
CHD5,0.0092117
RPL22,0.11962
RNF207,0.036194
ICMT,0.060687
HES3,0.45572
GPR153,0.8532
ACOT7,0.66595
HES2,0.50957
ESPN,0.3908
TNFRSF25,0.86469
PLEKHG5,0.44951
NOL9,0.57265
TAS1R1,0.2655
ZBTB48,0.0054974
KLHL21,0.011752
PHF13,0.0078176
THAP3,0.0010361
DNAJC11,0.0051472
CAMTA1,0.24775
VAMP3,0.16588
PER3,0.17542
UTS2,0.41717
TNFRSF9,0.32306
PARK7,0.63671
ERRFI1,0.34376
SLC45A1,0.0087413
RERE,0.0050051
ENO1,0.52043
CA6,0.19854
SLC2A7,0.14732
SLC2A5,0.011844
GPR157,0.017423
H6PD,0.44389
SPSB1,0.75653
SLC25A33,0.021612
TMEM201,0.01672
PIK3CD,0.023955
CLSTN1,0.77933
CTNNBIP1,0.14339
LZIC,0.95372
NMNAT1,0.69341
NA,0.64725
RBP7,0.71696
UBE4B,0.66326
KIF1B,0.2695
PGD,0.59539
CENPS,0.84055
CENPS-CORT,0.8202
CORT,0.89444
DFFA,0.89798
PEX14,0.59341
CASZ1,0.71624
C1orf127,0.99609
TARDBP,0.22805
MASP2,0.26497
SRM,0.88694
EXOSC10,0.92323
MTOR,0.92431
ANGPTL7,0.67305
UBIAD1,0.49241
DISP3,0.56558
FBXO2,0.63829
FBXO44,0.34175
FBXO6,0.11871
MAD2L2,0.24544
DRAXIN,0.67168
AGTRAP,0.76487
C1orf167,0.0079463
MTHFR,0.030152
CLCN6,0.043816
NPPA,0.064592
NPPB,0.26487
KIAA2013,0.8552
PLOD1,0.40952
MFN2,0.51543
MIIP,0.1926
TNFRSF8,0.47337
TNFRSF1B,0.19766
VPS13D,0.58836
DHRS3,0.3269
AADACL4,0.26907
AADACL3,0.75671
C1orf158,0.58902
PRAMEF12,0.30329
PRAMEF1,0.76639
PRAMEF11,0.61925
HNRNPCL1,0.58305
PRAMEF2,0.41558
PRAMEF4,0.88908
PRAMEF10,0.096121
HNRNPCL2,0.87313
PRAMEF15,0.7707
PRAMEF14,0.47883
PRAMEF19,0.19747
PRAMEF17,0.64918
PRAMEF20,0.80666
LRRC38,0.10478
PDPN,0.95711
PRDM2,0.50669
KAZN,0.044431
TMEM51,0.95217
C1orf195,0.94211
FHAD1,0.083882
EFHD2,0.13675
CTRC,0.62099
CELA2A,0.84357
CELA2B,0.8397
CASP9,0.73719
DNAJC16,0.9455
AGMAT,0.79858
DDI2,0.60922
RSC1A1,0.40987
PLEKHM2,0.59279
SLC25A34,0.62966
TMEM82,0.28615
FBLIM1,0.19438
UQCRHL,0.8708
SPEN,0.35912
ZBTB17,0.58816
TBC1D3P6,0.56863
SRARP,0.10821
HSPB7,0.56525
CLCNKA,0.60655
CLCNKB,0.56632
FAM131C,0.59538
EPHA2,0.75499
ARHGEF19,0.26793
ANO7L1,0.3308
CPLANE2,0.1628
FBXO42,0.34618
SZRD1,0.23202
SPATA21,0.60955
NECAP2,0.86077
NA,0.11113
NA,0.95957
CROCC,0.16939
MFAP2,0.53203
ATP13A2,0.38886
SDHB,0.59396
PADI2,0.63218
PADI1,0.87988
PADI3,0.27843
PADI4,0.5976
PADI6,0.6197
RCC2,0.96616
ARHGEF10L,0.84278
ACTL8,0.063773
IGSF21,0.93128
KLHDC7A,0.025501
PAX7,0.71094
TAS1R2,0.061267
ALDH4A1,0.03532
IFFO2,0.44105
UBR4,0.69632
EMC1,0.11333
MRTO4,0.20226
AKR7A3,0.19473
AKR7A2,0.1156
SLC66A1,0.14718
CAPZB,0.11401
MICOS10,0.016701
MICOS10-NBL1,0.015039
NBL1,0.03702
HTR6,0.07397
TMCO4,0.098415
RNF186,0.91098
OTUD3,0.19246
PLA2G2E,0.51656
PLA2G2A,0.59782
PLA2G5,0.00064765
PLA2G2D,0.047573
PLA2G2F,0.19716
NA,0.43651
PLA2G2C,0.0022028
UBXN10,0.11784
VWA5B1,0.40921
CAMK2N1,0.67789
MUL1,0.18766
FAM43B,0.045749
CDA,0.47829
PINK1,0.8899
DDOST,0.67389
KIF17,0.36173
SH2D5,0.046577
HP1BP3,0.00070331
EIF4G3,9.3984e-05
ECE1,0.38031
NBPF3,0.61185
ALPL,0.50936
RAP1GAP,0.84314
USP48,0.30593
LDLRAD2,0.17326
HSPG2,0.19274
CELA3B,0.61164
CELA3A,0.47466
CDC42,0.063848
WNT4,0.029218
ZBTB40,0.13618
EPHA8,0.70359
C1QA,0.68238
C1QC,0.50414
C1QB,0.68588
EPHB2,0.52959
LACTBL1,0.77922
TEX46,0.32794
KDM1A,0.95601
LUZP1,0.80618
HTR1D,0.38656
HNRNPR,0.62805
ZNF436,0.58475
TCEA3,0.50521
ASAP3,0.082788
E2F2,0.1795
ID3,0.010273
RPL11,0.43568
ELOA,0.84503
PITHD1,0.29809
LYPLA2,0.53277
GALE,0.32313
HMGCL,0.14784
FUCA1,0.041426
CNR2,0.044487
PNRC2,6.338e-05
SRSF10,0.00028896
MYOM3,0.013253
IL22RA1,0.1821
IFNLR1,0.86013
GRHL3,0.22696
STPG1,0.34565
NIPAL3,0.28829
RCAN3,0.14675
NCMAP,0.89825
SRRM1,0.62919
CLIC4,0.18961
RUNX3,0.03952
SYF2,0.53034
RSRP1,0.51342
RHD,0.11742
TMEM50A,0.83546
RHCE,0.69803
MACO1,0.53152
LDLRAP1,0.63177
MAN1C1,0.49656
SELENON,0.09158
MTFR1L,0.035963
AUNIP,0.10679
PAQR7,0.00075604
STMN1,0.0065235
PAFAH2,0.56178
EXTL1,0.41234
SLC30A2,0.90018
LOC105376910,0.52222
TRIM63,0.78854
PDIK1L,0.63157
FAM110D,0.51114
NA,0.36857
ZNF593,0.24779
CNKSR1,0.32686
CATSPER4,0.15867
CEP85,0.22665
SH3BGRL3,0.54855
UBXN11,0.37434
CD52,0.7689
CRYBG2,0.87372
ZNF683,0.53993
LIN28A,0.090552
DHDDS,0.064396
HMGN2,0.5054
RPS6KA1,0.59148
LOC101928728,0.15021
ARID1A,0.14989
PIGV,0.29289
ZDHHC18,0.043111
SFN,0.2697
GPN2,0.039073
GPATCH3,0.15093
NUDC,0.021356
NR0B2,0.21234
KDF1,0.10637
TRNP1,0.12687
TENT5B,0.29894
SLC9A1,0.87664
WDTC1,0.57805
TMEM222,0.58189
SYTL1,0.62423
MAP3K6,0.23261
FCN3,0.89155
CD164L2,0.46456
GPR3,0.21625
WASF2,0.086312
AHDC1,0.91405
FGR,0.22638
IFI6,0.17006
FAM76A,0.48003
STX12,0.35191
PPP1R8,0.18166
THEMIS2,0.039463
RPA2,0.021645
SMPDL3B,0.26343
XKR8,0.38538
EYA3,0.68495
PTAFR,0.12655
DNAJC8,0.054254
ATP5IF1,0.037508
SESN2,0.0066696
MED18,0.59079
PHACTR4,0.00040266
RCC1,0.00026973
TRNAU1AP,0.0015051
RAB42,0.52814
TAF12,0.031976
GMEB1,0.22979
NA,0.08663
YTHDF2,0.36917
OPRD1,0.6811
EPB41,0.074563
TMEM200B,0.20141
SRSF4,0.18209
MECR,0.27553
PTPRU,0.56771
MATN1,0.037743
LAPTM5,0.0017734
SDC3,0.39885
PUM1,0.38565
NKAIN1,0.021855
SNRNP40,0.14254
ZCCHC17,0.093576
FABP3,0.11641
SERINC2,0.044687
TINAGL1,0.036302
HCRTR1,0.23855
PEF1,0.11359
COL16A1,0.18678
ADGRB2,0.10724
SPOCD1,0.17338
PTP4A2,0.57918
KHDRBS1,0.1013
TMEM39B,0.3508
KPNA6,0.16315
TXLNA,0.14003
CCDC28B,0.66378
TMEM234,0.4896
IQCC,0.58711
DCDC2B,0.60143
EIF3I,0.1773
FAM167B,0.4332
LCK,0.93184
HDAC1,0.88109
MARCKSL1,0.8464
FAM229A,0.80713
TSSK3,0.37955
BSDC1,0.38216
ZBTB8B,0.12563
ZBTB8A,0.33477
ZBTB8OS,0.14605
RBBP4,0.086989
SYNC,0.095931
KIAA1522,0.42442
YARS1,0.62529
S100PBP,0.6585
FNDC5,0.35628
HPCA,0.84816
TMEM54,0.89062
RNF19B,0.06899
AK2,0.34807
AZIN2,0.072466
TRIM62,0.063982
ZNF362,0.12456
A3GALT2,0.43408
PHC2,0.31497
ZSCAN20,0.13876
CSMD2,0.48582
HMGB4,0.36837
C1orf94,0.023537
GJB5,0.19102
GJB4,0.49213
GJB3,0.24591
GJA4,0.018871
SMIM12,0.25229
DLGAP3,0.35462
TMEM35B,0.63919
ZMYM6,0.74708
ZMYM1,0.54265
SFPQ,0.208
ZMYM4,0.25901
KIAA0319L,0.42516
NCDN,0.73522
TFAP2E,0.21428
PSMB2,0.058263
C1orf216,0.27308
CLSPN,0.18838
AGO4,0.088956
AGO1,0.30203
AGO3,0.29055
TEKT2,0.24176
ADPRS,0.081272
COL8A2,0.89095
TRAPPC3,0.21337
MAP7D1,0.17463
THRAP3,0.49658
SH3D21,0.1464
EVA1B,0.40941
STK40,0.83669
LSM10,0.68846
OSCP1,0.11106
MRPS15,0.090803
CSF3R,0.27841
GRIK3,0.81777
ZC3H12A,0.66529
MEAF6,0.51227
SNIP1,0.68569
DNALI1,0.26058
GNL2,0.70406
RSPO1,0.49358
C1orf109,0.89898
CDCA8,0.75647
EPHA10,0.5418
MANEAL,0.34374
YRDC,0.073778
C1orf122,0.97213
MTF1,0.48293
INPP5B,0.15005
SF3A3,0.25838
FHL3,0.3936
UTP11,0.97897
POU3F1,0.84727
RRAGC,0.036287
MYCBP,0.078125
GJA9,0.21027
RHBDL2,0.44903
AKIRIN1,0.0058425
NDUFS5,0.40323
MACF1,0.75676
