Gene Symbol,Negative logP
APOE,153.8263185
MTHFR,1.492981154
ACE,3.344151133
IL10,1.729600693
APP,1.872862793
HLA-DRB1,8.595799378
MMP9,1.310655617
ABCB1,1.734191982
BDNF,1.567062762
COMT,1.405596399
PTEN,1.570991015
SLC6A4,1.618758532
SNCA,2.023255804
MAPT,1.646814937
MMP2,1.753230685
SERPINE1,1.314141868
SOD1,1.59238818
HLA-DQB1,5.791424291
APOA1,1.440248935
ITGB3,2.409949931
AGER,2.558571963
EZH2,1.467793611
SP1,1.498310988
RAC1,1.648551577
MGMT,1.401384559
CD14,1.84103474
EP300,1.694304771
ERCC2,5.677491272
HBA1,1.612663574
ABCA1,1.691478271
IL2,1.382129843
EGF,1.328577209
MPO,2.286223941
TARDBP,2.513711239
ERCC1,2.986236145
HLA-DQA1,5.088043811
CXCL10,1.571735585
CDK1,1.566630253
PCSK9,3.918076896
CLU,11.78831892
DPP4,2.741506389
NF1,1.393564889
DNMT1,1.350139632
NQO1,1.487235581
GRN,1.744630996
SQSTM1,3.540879031
FCGR2A,1.623477789
APOA5,2.684071617
IL15,3.664662475
CYP21A2,2.884689105
VEGFC,1.466723762
FYN,1.551000128
NOTCH3,1.477347147
VKORC1,1.741171229
GDF15,2.465961195
EGR1,2.471764829
PAH,1.625893491
BACE1,1.536973479
ITGA2B,2.815450519
APOC3,2.041737217
CAT,1.766115891
ZEB1,2.044187222
PGF,2.037730132
SERPINF1,1.340892321
ROCK1,1.388988711
RXRA,1.336515805
PTPN6,1.822434644
RYR1,1.893197372
AQP4,1.76017518
SCARB1,2.808129985
HBA2,1.704564858
GP1BA,2.221046047
SREBF1,1.991144436
PTPN1,1.320081755
HSF1,1.702458332
ACTB,3.597497887
TPH2,1.500244205
CHUK,1.421418089
TTN,1.394511791
HAVCR2,1.608482693
GAPDH,1.937944753
CTSD,1.428792118
ADAR,1.885322309
ITGAM,2.331120424
SAA1,1.407445759
LIPC,1.727810169
DISC1,1.888233567
CD38,3.372757074
NRP1,2.436376546
ADAM10,3.798138784
IFNA1,2.237441465
WWOX,1.628839744
CRHR1,1.551479184
HDAC3,1.439507533
CR1,10.32117217
RHO,1.708919887
PRKCE,1.447587326
TGFB2,1.484271828
ACTA1,1.589577093
NR1H3,1.639690656
STUB1,1.569715269
SFTPD,1.457822142
PTK2B,7.33858489
AKT2,1.652104307
COL7A1,2.255738319
CUL1,1.323544175
CD55,1.3225208
MYBPC3,10.14789835
THY1,1.608324047
TEK,1.305315846
RARB,2.017792106
CD46,1.680498361
PDCD4,3.148919075
MTA1,3.508358207
IGF2BP3,1.461702815
TG,1.440356664
SERPING1,1.934382944
SDHB,1.542617754
CIITA,2.041828066
CDK6,1.38146033
ADRA2A,2.555486794
KPNA2,1.669667411
PDE4D,1.719012111
WFDC2,1.477699251
MDM4,1.382674584
HNRNPA1,1.674422768
CCNT1,1.843693201
HBEGF,8.350743049
PHB,1.649248182
NCOA1,1.997013659
FSCN1,2.094587331
FOLH1,2.613786496
RARRES2,1.303268026
SKP1,1.789842062
ARMS2,2.056851871
TREM2,1.9072092
SPI1,12.1246493
KPNB1,3.622384169
SORL1,5.653686153
HLA-DRA,4.718693863
TRPM7,2.813269624
VAV1,2.402195158
SLC2A4,1.789360494
TRIM5,3.644050677
SCN4A,1.634680524
BCAR1,1.584976544
SOS1,1.652162791
MUC5B,1.866173786
C4B,2.17241751
ENO1,1.397657809
HMGCR,1.341797747
APOA4,2.496876928
NEDD4L,2.182143876
PRLR,1.746129148
DMPK,7.119563722
CSNK2B,3.090690069
TRAF3,2.045039086
CHRM3,1.379936854
SIRT6,2.083551316
KIF11,1.415736639
TAP2,1.883558302
MICB,2.55819493
HSPA9,1.618541953
GNRHR,1.985689519
AXIN1,1.592048529
THRA,2.080534878
NEFL,1.376957566
CANX,3.34106373
ABCB4,1.378408324
PFN1,1.584826255
C1QBP,1.473441046
UBE2L3,3.830854799
CXCL9,1.485027457
NOTCH4,2.496672448
APOC1,153.8263185
CD63,1.709542436
HNRNPA2B1,4.275347359
BIN1,11.43488449
DKK3,2.719649307
HLA-DRB5,5.678670887
RTN4,1.897154836
CR2,3.232584377
EHMT2,1.390672438
BAG1,1.699122034
MYOD1,2.12782041
ACAN,2.219891603
KRT14,2.661543506
AKT3,1.505678402
DLG4,1.329132845
CBX5,2.186993113
MCM7,2.05387702
CCK,1.584909742
CLDN4,1.347773004
IFNA2,2.340388008
MEF2C,2.380666621
MYO7A,1.412839265
IGH,2.168213383
TMEM173,1.522603779
FCGRT,1.482553366
CAV3,1.441915726
APOM,3.581201709
DEFA1,1.596039169
RORA,1.758105028
PLD2,1.415408729
LILRB1,1.721703792
RAB7A,1.33170729
FPR1,1.922995673
ACP1,2.6749772
GABRA1,1.558996516
EPHX2,3.115601174
CD19,1.709943118
AZGP1,1.508820468
PRKAA2,1.662301194
RELB,31.52850293
ACADM,1.580539927
PIAS1,1.838841708
PROX1,1.581765018
PEPD,1.509086842
KRIT1,1.77162531
FST,2.617136818
UBE2N,4.051723996
CLEC7A,1.30477232
LIPG,1.861665718
MASP2,2.129578536
ELOC,1.362430224
TPT1,2.415951612
RPE65,1.363341629
TOMM40,153.8263185
LBP,1.550799391
AXIN2,1.933264205
NPPC,1.493143345
OAS1,3.226403692
PICALM,12.03628299
CREM,1.630988346
LAT,1.683568331
KRT17,2.629431401
APOC2,18.2912138
CKM,7.060730414
ILF3,1.392748768
BCL3,17.3953852
DDB2,1.37385475
INHBB,2.837196708
GCLC,1.437279001
CALB2,1.609117859
TRIB3,3.59453411
POLK,1.675182725
ST6GAL1,1.489978067
