SYMBOL,P
SAMD11,0.31362
NOC2L,0.90079
KLHL17,0.7554
HES4,0.63442
ISG15,0.90824
AGRN,0.43067
RNF223,0.1471
C1orf159,0.67028
TTLL10,0.37883
TNFRSF18,0.7382
TNFRSF4,0.85658
SDF4,0.94039
C1QTNF12,0.94627
UBE2J2,0.8282
DVL1,0.083636
MXRA8,0.068713
CCNL2,0.01955
MRPL20,0.016919
ANKRD65,0.012253
TMEM240,0.64038
SSU72,0.50874
SLC35E2A,0.014517
NADK,0.027707
GNB1,0.10531
CALML6,0.16567
TMEM52,0.13613
CFAP74,0.11551
PRKCZ,0.50633
PRKCZ-AS1,0.32002
FAAP20,0.68064
SKI,0.26169
MORN1,0.10917
RER1,0.40749
PEX10,0.32608
PLCH2,0.06911
PANK4,0.036068
HES5,0.27591
TNFRSF14,0.011651
PRXL2B,0.0050851
MMEL1,0.0034146
TTC34,0.047853
ACTRT2,0.85281
PRDM16,0.95867
ARHGEF16,0.38792
MEGF6,0.024291
TPRG1L,0.46485
WRAP73,0.86002
TP73,0.012308
CCDC27,0.090495
SMIM1,0.58239
LRRC47,0.50857
CEP104,0.44662
DFFB,0.83366
C1orf174,0.59359
AJAP1,0.71011
NPHP4,0.13033
KCNAB2,0.13276
CHD5,0.23709
RPL22,0.60013
RNF207,0.14027
ICMT,0.32294
HES3,0.65144
GPR153,0.78079
ACOT7,0.15016
HES2,0.69636
ESPN,0.90584
TNFRSF25,0.64601
PLEKHG5,0.41171
NOL9,0.62799
TAS1R1,0.19458
ZBTB48,0.99689
KLHL21,0.03442
PHF13,0.012049
THAP3,0.0059857
DNAJC11,0.0038682
CAMTA1,0.19312
VAMP3,0.97204
PER3,0.99202
UTS2,0.84997
TNFRSF9,0.40589
PARK7,0.13544
ERRFI1,0.17352
SLC45A1,0.11228
RERE,0.47866
ENO1,0.074533
CA6,0.66313
SLC2A7,0.57308
SLC2A5,0.48796
GPR157,0.20748
H6PD,0.38537
SPSB1,0.33439
SLC25A33,0.8806
TMEM201,0.54203
PIK3CD,0.43632
CLSTN1,0.30253
CTNNBIP1,0.52273
LZIC,0.75763
NMNAT1,0.85499
RBP7,0.48905
UBE4B,0.45173
KIF1B,0.54447
PGD,0.45523
CENPS,0.88657
CENPS-CORT,0.87711
CORT,0.84783
DFFA,0.040396
PEX14,0.26837
CASZ1,0.67093
C1orf127,0.27469
TARDBP,0.029702
MASP2,0.059972
SRM,0.30297
EXOSC10,0.21083
MTOR,0.30912
ANGPTL7,0.23285
UBIAD1,0.051743
DISP3,0.33152
FBXO2,0.50759
FBXO44,0.49682
FBXO6,0.94191
MAD2L2,0.10678
DRAXIN,0.22111
AGTRAP,0.029601
C1orf167,0.33728
MTHFR,0.40106
CLCN6,0.69879
NPPA,0.71915
NPPB,0.3338
KIAA2013,0.1158
PLOD1,0.0040536
MFN2,0.0063116
MIIP,0.018843
TNFRSF8,0.41998
TNFRSF1B,0.99992
VPS13D,0.51346
DHRS3,0.73836
AADACL4,0.30043
AADACL3,0.11531
C1orf158,0.47378
PRAMEF12,0.27226
PRAMEF1,0.14794
LRRC38,0.58618
PDPN,0.48163
PRDM2,0.019057
KAZN,0.39108
TMEM51,0.27617
C1orf195,0.23552
FHAD1,0.054833
EFHD2,0.12693
CTRC,0.78029
CELA2A,0.9367
CELA2B,0.15798
CASP9,0.13602
DNAJC16,0.20032
AGMAT,0.45659
DDI2,0.32662
RSC1A1,0.2548
PLEKHM2,0.21187
SLC25A34,0.56899
TMEM82,0.33569
FBLIM1,0.012019
UQCRHL,0.37819
SPEN,0.17801
ZBTB17,0.32704
TBC1D3P6,0.1722
SRARP,0.84926
HSPB7,0.12469
CLCNKA,0.37684
CLCNKB,0.011578
FAM131C,0.36529
EPHA2,0.35892
ARHGEF19,0.034824
ANO7L1,0.32514
CPLANE2,0.31033
FBXO42,0.24714
SZRD1,0.64496
SPATA21,0.31072
NECAP2,0.36284
CROCC,0.36666
MFAP2,0.00051788
